TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-07-03,2024-07-03,FO,NSE,STO,116918,,GAIL,,2024-09-26,2024-09-26,180.00,CE,GAIL24SEP180CE,0.00,0.00,0.00,46.15,0.00,46.15,220.14,47.30,0,0,0,0.00,0,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101128,,GAIL,,2024-07-25,2024-07-25,230.00,PE,GAIL24JUL230PE,12.00,13.40,11.60,12.90,12.95,12.00,220.14,12.90,850950,22875,60,66566478.75,59,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,116928,,GAIL,,2024-09-26,2024-09-26,230.00,CE,GAIL24SEP230CE,0.00,0.00,0.00,17.45,0.00,17.45,220.14,17.50,0,0,0,0.00,0,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,102651,,GAIL,,2024-07-25,2024-07-25,252.50,CE,GAIL24JUL252.5CE,1.10,1.10,0.85,0.85,0.85,1.10,220.14,0.85,114375,64050,35,40579106.25,19,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101120,,GAIL,,2024-07-25,2024-07-25,215.00,PE,GAIL24JUL215PE,4.25,5.10,4.10,4.75,4.95,4.40,220.14,4.75,1560075,18300,319,320475090.00,303,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,102630,,GAIL,,2024-07-25,2024-07-25,237.50,PE,GAIL24JUL237.5PE,17.60,17.60,17.60,17.60,17.60,17.30,220.14,20.75,13725,-4575,1,1167082.50,1,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,102649,,GAIL,,2024-07-25,2024-07-25,247.50,CE,GAIL24JUL247.5CE,1.45,1.60,1.15,1.25,1.20,1.50,220.14,1.25,507825,265350,90,102422812.50,57,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,48887,,GAIL,,2024-07-25,2024-07-25,257.50,CE,GAIL24JUL257.5CE,0.75,0.75,0.50,0.55,0.50,0.75,220.14,0.55,1345050,196725,150,177127072.50,105,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101157,,GAIL,,2024-07-25,2024-07-25,245.00,CE,GAIL24JUL245CE,1.85,1.85,1.40,1.50,1.50,1.85,220.14,1.50,732000,114375,150,169243890.00,115,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101066,,GAIL,,2024-07-25,2024-07-25,195.00,CE,GAIL24JUL195CE,0.00,0.00,0.00,29.90,30.00,29.90,220.14,27.75,18300,0,0,0.00,0,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101063,,GAIL,,2024-07-25,2024-07-25,185.00,PE,GAIL24JUL185PE,0.25,0.30,0.25,0.25,0.25,0.25,220.14,0.25,141825,4575,8,6780607.50,8,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STF,35523,,GAIL,,2024-09-26,2024-09-26,,,GAIL24SEPFUT,224.65,225.60,223.75,224.60,224.65,226.20,220.14,224.60,183000,50325,25,25687710.00,25,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,100964,,GAIL,,2024-07-25,2024-07-25,160.00,PE,GAIL24JUL160PE,0.00,0.00,0.00,0.20,0.20,0.20,220.14,0.05,27450,0,0,0.00,0,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101159,,GAIL,,2024-07-25,2024-07-25,250.00,CE,GAIL24JUL250CE,1.20,1.30,0.95,1.05,1.05,1.30,220.14,1.05,3888750,292800,434,498594251.25,339,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,116932,,GAIL,,2024-09-26,2024-09-26,250.00,CE,GAIL24SEP250CE,0.00,0.00,0.00,11.00,0.00,11.00,220.14,10.85,0,0,0,0.00,0,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101138,,GAIL,,2024-07-25,2024-07-25,240.00,PE,GAIL24JUL240PE,20.80,21.10,20.55,20.60,20.60,18.20,220.14,20.60,141825,0,6,7158960.00,6,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,116930,,GAIL,,2024-09-26,2024-09-26,240.00,CE,GAIL24SEP240CE,0.00,0.00,0.00,13.90,0.00,13.90,220.14,13.85,0,0,0,0.00,0,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101072,,GAIL,,2024-07-25,2024-07-25,210.00,CE,GAIL24JUL210CE,16.00,16.30,14.00,14.60,14.50,16.05,220.14,14.60,1811700,160125,163,167852861.25,124,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,101118,,GAIL,,2024-07-25,2024-07-25,210.00,PE,GAIL24JUL210PE,2.90,3.35,2.65,3.15,3.20,2.95,220.14,3.15,2836500,141825,392,381994428.75,354,F1,4575,,,,,
2024-07-03,2024-07-03,FO,NSE,STO,102599,,GAIL,,2024-07-25,2024-07-25,217.50,PE,GAIL24JUL217.5PE,5.00,6.15,5.00,5.75,6.00,5.40,220.14,5.75,343125,22875,68,69424481.25,66,F1,4575,,,,,
