Date,Close,High,Low,Open,Volume
2024-07-15,27802.412109375,27951.35561697584,26848.85692933582,27124.967711778292,30368
2024-07-16,27794.92578125,27976.440599360478,27586.481198303474,27802.41302301763,12443
2024-07-18,27995.73828125,28120.522476912167,27805.522847451528,27941.584427851394,11877
2024-07-19,27027.720703125,28009.8910941367,26847.086108221658,27967.086861219475,16887
2024-07-22,27561.19140625,27664.69901940653,26747.07881355345,27023.577478921277,20873
2024-07-23,27347.91015625,27664.697291976852,26753.7344235185,26929.437690152656,8840
2024-07-24,27320.58984375,27507.783470345228,27175.510834231183,27418.1317119702,6345
2024-07-25,27627.712890625,27812.539099916514,27051.636627980155,27320.589978131793,7455
2024-07-26,28191.955078125,28551.99143920312,27723.972917542877,27962.84715929121,16474
2024-07-29,27687.431640625,28304.58616665509,27447.719471701967,28256.40564264308,11317
2024-07-30,27782.607421875,27911.26476047317,27552.46122953551,27762.288847125288,17382
2024-07-31,27995.1953125,28386.545546394456,27824.473439416626,27865.700035462192,14155
2024-08-01,27997.46484375,28225.6866679468,27895.188133876105,28009.89138213208,4779
2024-08-02,27839.95703125,28308.678887628328,27556.209715329762,27997.06962022426,7719
2024-08-05,27609.271484375,28142.100485909657,27418.132795304988,27566.12244445433,12017
2024-08-06,27427.748046875,28158.81604424089,27318.51933765642,27615.38472343333,9090
2024-08-07,27750.35546875,28058.21809089184,27556.01334796945,27659.17615341308,16507
2024-08-08,26845.802734375,29095.767006905473,26731.791029671287,27911.264238345306,84434
2024-08-09,26854.876953125,27357.131759312015,26759.357695813407,26924.99991930392,26269
2024-08-12,26610.037109375,26952.565349823195,26402.28026769474,26777.060488155104,21053
2024-08-13,26934.71484375,27067.21899407101,26549.085715265493,26678.434592086775,17460
2024-08-14,26682.330078125,27067.023033981146,26599.5340047541,27009.76965133888,8129
2024-08-16,27546.248046875,27629.982223750827,26738.103152185762,26830.072246040225,22838
2024-08-19,27712.630859375,27881.62677157424,27264.275733547944,27566.022364298326,12331
2024-08-20,27436.279296875,27861.950336940456,27279.216798072957,27861.950336940456,7954
2024-08-21,28133.568359375,28272.38498218684,27326.359637413523,27597.237361609008,16987
2024-08-22,28756.09765625,29535.88748597535,28110.391540925357,28133.56873936329,60209
2024-08-23,28666.59375,28885.003012585414,28256.45635600467,28756.09718505436,26875
2024-08-26,28614.619140625,28675.61916966128,28239.2475342773,28601.649386764475,11584
2024-08-27,29329.017578125,29391.743565895365,28503.021706862128,28503.021706862128,27846
2024-08-28,29543.77734375,29731.41402311834,29222.995057471144,29326.552751734882,33538
2024-08-29,29571.8359375,29736.936876224074,29408.36271923961,29543.530938099568,16866
2024-08-30,29781.072265625,30101.756313454967,29491.259044098504,29587.912892881915,18487
2024-09-02,29567.201171875,29908.448431805908,29292.62495665975,29883.791837880264,12025
2024-09-03,29282.61328125,29963.580231485073,29243.70594750127,29736.986138825858,10509
