Date,Close,High,Low,Open,Volume
2024-07-15,103.51000213623047,106.79000091552734,98.72000122070312,99.4000015258789,5259585
2024-07-16,107.97000122070312,110.29000091552734,101.79000091552734,104.0,4647763
2024-07-18,103.77999877929688,109.0,101.9800033569336,108.5,2238617
2024-07-19,100.16000366210938,104.83999633789062,99.0,104.25,2202153
2024-07-22,100.80999755859375,102.9000015258789,98.75,99.94999694824219,1326884
2024-07-23,98.87000274658203,101.63999938964844,93.5,101.0,1833445
2024-07-24,104.41000366210938,105.98999786376953,99.0,99.0,1355931
2024-07-25,103.16999816894531,106.19999694824219,102.36000061035156,103.87000274658203,977984
2024-07-26,106.20999908447266,111.0,105.30000305175781,108.0,2670315
2024-07-29,108.29000091552734,113.4000015258789,107.0,108.08999633789062,2189059
2024-07-30,108.97000122070312,111.0,106.98999786376953,108.25,1083126
2024-07-31,106.44000244140625,110.0,106.12000274658203,109.97000122070312,769440
2024-08-01,103.97000122070312,108.30000305175781,103.01000213623047,106.0,940692
2024-08-02,103.0999984741211,105.0,101.0,101.5,838891
2024-08-05,101.87000274658203,103.75,97.80000305175781,98.0,2341555
2024-08-06,99.88999938964844,105.13999938964844,99.5,105.0,1386487
2024-08-07,109.01000213623047,110.0,100.25,102.6500015258789,2809798
2024-08-08,110.25,113.4000015258789,107.0,110.0,2515312
2024-08-09,113.06999969482422,116.0,110.94999694824219,110.94999694824219,2202898
2024-08-12,113.98999786376953,117.4000015258789,109.01000213623047,111.51000213623047,2367999
2024-08-13,111.69999694824219,120.20999908447266,110.94999694824219,114.4800033569336,3160960
2024-08-14,113.80000305175781,116.4000015258789,107.26000213623047,112.44999694824219,3681392
2024-08-16,111.97000122070312,114.0,109.30000305175781,113.4000015258789,1738733
2024-08-19,111.69999694824219,113.51000213623047,110.51000213623047,111.51000213623047,932133
2024-08-20,112.80000305175781,114.0,110.52999877929688,112.0999984741211,855029
2024-08-21,116.19999694824219,117.48999786376953,114.0,116.4000015258789,1856696
2024-08-22,115.13999938964844,117.79000091552734,114.36000061035156,117.0,964555
2024-08-23,114.63999938964844,116.1500015258789,112.81999969482422,116.1500015258789,779182
2024-08-26,113.26000213623047,115.80999755859375,112.94999694824219,114.69999694824219,792585
2024-08-27,116.73999786376953,117.5999984741211,112.5,113.26000213623047,1189997
2024-08-28,116.88999938964844,120.66000366210938,116.18000030517578,117.41000366210938,1480351
2024-08-29,113.83000183105469,119.4000015258789,112.58000183105469,118.44999694824219,932881
2024-08-30,113.31999969482422,114.58999633789062,111.66999816894531,114.05000305175781,766399
2024-09-02,110.55999755859375,113.80000305175781,110.23999786376953,113.0,702179
2024-09-03,108.5999984741211,111.25,107.75,110.5,885248
2024-09-04,109.44999694824219,112.51000213623047,107.18000030517578,107.80000305175781,976146
2024-09-05,106.98999786376953,111.8499984741211,106.6500015258789,111.0999984741211,780702
2024-09-06,104.72000122070312,108.04000091552734,103.9000015258789,106.98999786376953,789462
2024-09-09,105.2300033569336,106.72000122070312,101.26000213623047,105.0,952282
2024-09-10,103.41000366210938,106.5999984741211,103.0,106.27999877929688,645465
2024-09-11,101.06999969482422,104.94000244140625,100.5,104.94000244140625,756032
2024-09-12,103.91000366210938,104.88999938964844,100.63999938964844,102.0,807503
2024-09-13,106.36000061035156,109.44999694824219,103.5999984741211,103.87999725341797,1223154
2024-09-16,102.87999725341797,106.77999877929688,102.61000061035156,106.68000030517578,476334
2024-09-17,104.08999633789062,105.4000015258789,100.0,102.36000061035156,1146710
2024-09-18,102.08000183105469,105.9000015258789,101.55000305175781,104.08999633789062,912021
2024-09-19,99.69000244140625,105.9000015258789,97.69000244140625,104.9000015258789,2287222
2024-09-20,101.80000305175781,102.25,99.29000091552734,100.77999877929688,850559
2024-09-23,100.80999755859375,104.0,100.20999908447266,102.5,694609
2024-09-24,98.25,101.47000122070312,98.0,101.05000305175781,724419
2024-09-25,95.63999938964844,99.93000030517578,94.77999877929688,98.30000305175781,917169
2024-09-26,94.79000091552734,97.75,94.05000305175781,95.98999786376953,964493
2024-09-27,93.69999694824219,95.79000091552734,93.0999984741211,94.8499984741211,416979
2024-09-30,93.02999877929688,94.08999633789062,89.22000122070312,92.0199966430664,1458899
2024-10-01,92.55999755859375,94.7699966430664,91.55000305175781,93.0999984741211,420883
2024-10-03,90.55000305175781,91.80999755859375,89.75,90.0,538611
2024-10-04,91.93000030517578,94.01000213623047,88.69000244140625,90.19999694824219,968834
2024-10-07,87.33000183105469,92.3499984741211,85.98999786376953,92.3499984741211,1058061
2024-10-08,91.70999908447266,92.19999694824219,86.41999816894531,87.44999694824219,775031
2024-10-09,88.7300033569336,92.58999633789062,87.95999908447266,92.0,343349
2024-10-10,89.1500015258789,89.83999633789062,87.80000305175781,89.44999694824219,448386
2024-10-11,89.91999816894531,91.19999694824219,88.05000305175781,89.58000183105469,320663
2024-10-14,88.73999786376953,90.31999969482422,88.26000213623047,89.91999816894531,237378
2024-10-15,89.88999938964844,91.4000015258789,89.0,89.0,324731
2024-10-16,89.62000274658203,90.52999877929688,88.51000213623047,89.54000091552734,277647
2024-10-17,86.95999908447266,89.98999786376953,86.30000305175781,89.98999786376953,277578
2024-10-18,85.9000015258789,87.0,84.41999816894531,87.0,449022
2024-10-21,83.2300033569336,86.23999786376953,82.37000274658203,85.9000015258789,625792
2024-10-22,79.94000244140625,83.5,79.06999969482422,83.2300033569336,1443900
2024-10-23,80.55000305175781,82.30000305175781,77.94999694824219,79.13999938964844,526878
2024-10-24,80.12999725341797,84.01000213623047,79.30000305175781,80.0,299764
2024-10-25,76.33999633789062,80.58999633789062,73.31999969482422,80.12000274658203,1300259
2024-10-28,78.4000015258789,79.94000244140625,75.31999969482422,76.48999786376953,357335
2024-10-29,77.87000274658203,79.55000305175781,75.37999725341797,78.75,374492
2024-10-30,82.2699966430664,83.4000015258789,77.41000366210938,77.88999938964844,604344
2024-10-31,81.5999984741211,83.48999786376953,80.66999816894531,82.69000244140625,267625
2024-11-01,82.94000244140625,84.33000183105469,82.0,82.04000091552734,155376
2024-11-04,80.19000244140625,83.86000061035156,80.0,83.19999694824219,215956
2024-11-05,81.55000305175781,82.69999694824219,80.0,80.19999694824219,301929
2024-11-06,81.94000244140625,82.9000015258789,80.33000183105469,82.44000244140625,211364
2024-11-07,80.4800033569336,84.94999694824219,80.11000061035156,82.33000183105469,1200477
2024-11-08,77.62999725341797,81.79000091552734,77.0999984741211,81.51000213623047,468855
2024-11-11,74.6500015258789,78.83000183105469,71.70999908447266,78.0,869548
2024-11-12,75.51000213623047,77.7699966430664,74.5199966430664,75.05000305175781,437245
2024-11-13,71.25,75.13999938964844,70.0,74.19999694824219,643215
2024-11-14,72.4000015258789,73.81999969482422,71.5199966430664,72.80000305175781,305329
2024-11-18,69.54000091552734,72.36000061035156,68.8499984741211,72.2300033569336,540396
2024-11-19,70.88999938964844,72.0,69.9800033569336,69.9800033569336,198074
2024-11-21,70.02999877929688,71.19000244140625,68.0,70.9000015258789,330490
2024-11-22,71.44999694824219,72.69000244140625,68.91999816894531,70.72000122070312,343159
2024-11-25,72.55999755859375,74.5,72.0,72.98999786376953,416333
2024-11-26,74.2699966430664,77.55999755859375,71.0999984741211,72.5,604488
2024-11-27,74.91999816894531,75.98999786376953,74.0,74.9000015258789,215152
2024-11-28,75.0199966430664,77.69999694824219,74.31999969482422,75.48999786376953,315981
2024-11-29,75.37000274658203,76.02999877929688,73.1500015258789,75.1500015258789,286126
2024-12-02,74.95999908447266,75.69999694824219,73.45999908447266,75.5,297098
2024-12-03,75.08999633789062,76.33999633789062,74.30000305175781,75.01000213623047,367960
2024-12-04,75.06999969482422,75.69999694824219,74.0,75.29000091552734,299604
2024-12-05,76.16999816894531,77.13999938964844,74.0,75.12000274658203,391608
2024-12-06,74.83999633789062,76.5,73.41999816894531,76.48999786376953,644801
2024-12-09,73.7699966430664,75.9800033569336,72.79000091552734,73.6500015258789,590273
2024-12-10,74.70999908447266,76.94999694824219,73.0999984741211,74.13999938964844,432132
2024-12-11,82.16000366210938,82.9000015258789,75.01000213623047,75.19999694824219,2023270
2024-12-12,79.06999969482422,82.9000015258789,78.22000122070312,82.4000015258789,1214064
2024-12-13,81.77999877929688,82.9000015258789,77.68000030517578,78.69999694824219,1136959
2024-12-16,80.11000061035156,82.18000030517578,79.5999984741211,81.66000366210938,461793
2024-12-17,78.63999938964844,80.44999694824219,78.05999755859375,80.12999725341797,389540
2024-12-18,77.12999725341797,79.4800033569336,77.0,78.63999938964844,417041
2024-12-19,77.7300033569336,78.5,75.55999755859375,75.91999816894531,299170
2024-12-20,76.05000305175781,78.9000015258789,75.5,78.41999816894531,374297
2024-12-23,76.12999725341797,79.5,75.5999984741211,77.19999694824219,487301
2024-12-24,78.5199966430664,79.9000015258789,75.80000305175781,75.80000305175781,343766
2024-12-26,77.30999755859375,79.08999633789062,76.75,79.08999633789062,227531
2024-12-27,77.27999877929688,78.1500015258789,76.61000061035156,77.0,199721
2024-12-30,76.3499984741211,77.58999633789062,76.06999969482422,77.58999633789062,166007
2024-12-31,77.22000122070312,77.73999786376953,75.26000213623047,75.9000015258789,186381
2025-01-01,78.44999694824219,79.38999938964844,77.0,77.0,189266
2025-01-02,82.56999969482422,83.9000015258789,78.44999694824219,78.44999694824219,958406
2025-01-03,81.08999633789062,83.9800033569336,80.80000305175781,83.18000030517578,461503
2025-01-06,76.01000213623047,81.5,74.56999969482422,81.48999786376953,540472
2025-01-07,80.16999816894531,80.88999938964844,76.05000305175781,76.05000305175781,732157
2025-01-08,81.7300033569336,84.69000244140625,79.91999816894531,80.98999786376953,922590
2025-01-09,78.68000030517578,81.94000244140625,78.30000305175781,81.79000091552734,260033
2025-01-10,75.70999908447266,78.58999633789062,75.4000015258789,78.58999633789062,302899
2025-01-13,72.13999938964844,76.20999908447266,71.30000305175781,75.0,584122
2025-01-14,75.20999908447266,75.9000015258789,71.69999694824219,74.9000015258789,466830
2025-01-15,74.0199966430664,76.5999984741211,73.05000305175781,75.9000015258789,289565
2025-01-16,74.18000030517578,76.4800033569336,73.5999984741211,74.29000091552734,231919
2025-01-17,75.25,76.19999694824219,74.04000091552734,75.0,232989
2025-01-20,75.05999755859375,76.5,74.0999984741211,75.0999984741211,275781
2025-01-21,73.97000122070312,76.56999969482422,73.5,75.19999694824219,283515
2025-01-22,71.1500015258789,74.77999877929688,70.12000274658203,74.69999694824219,356877
2025-01-23,71.30999755859375,72.73999786376953,70.26000213623047,71.05999755859375,168508
2025-01-24,71.11000061035156,72.88999938964844,70.81999969482422,71.47000122070312,194168
2025-01-27,64.04000091552734,70.0,63.20000076293945,70.0,1191928
2025-01-28,64.25,66.54000091552734,60.540000915527344,66.0,726004
2025-01-29,69.3499984741211,69.79000091552734,63.04999923706055,63.04999923706055,902463
2025-01-30,66.87000274658203,69.68000030517578,66.30000305175781,68.94999694824219,372012
2025-01-31,65.8499984741211,68.97000122070312,65.23999786376953,66.87999725341797,507140
2025-02-01,67.31999969482422,68.30999755859375,65.91000366210938,66.30000305175781,104132
2025-02-03,63.91999816894531,66.98999786376953,63.20000076293945,66.98999786376953,429557
2025-02-04,65.77999877929688,66.5,61.83000183105469,64.0,531424
2025-02-05,63.900001525878906,66.38999938964844,63.400001525878906,66.30000305175781,566890
2025-02-06,63.95000076293945,64.98999786376953,63.709999084472656,64.01000213623047,416934
2025-02-07,61.029998779296875,64.22000122070312,60.869998931884766,64.19000244140625,690656
2025-02-10,61.529998779296875,63.0,59.709999084472656,59.709999084472656,563906
2025-02-11,59.7400016784668,61.77000045776367,58.5,61.5,554270
2025-02-12,57.150001525878906,60.650001525878906,54.20000076293945,59.93000030517578,808498
2025-02-13,56.68000030517578,58.2599983215332,55.470001220703125,57.150001525878906,743206
2025-02-14,53.290000915527344,57.150001525878906,52.20000076293945,56.5,734227
2025-02-17,52.689998626708984,55.54999923706055,49.689998626708984,53.290000915527344,909436
2025-02-18,49.18000030517578,54.599998474121094,47.11000061035156,52.75,1194411
2025-02-19,50.81999969482422,52.349998474121094,48.81999969482422,49.0,672599
2025-02-20,53.279998779296875,57.09000015258789,51.400001525878906,51.400001525878906,1209652
2025-02-21,54.630001068115234,56.5,53.58000183105469,53.58000183105469,580152
2025-02-24,52.560001373291016,54.86000061035156,52.16999816894531,54.849998474121094,324512
2025-02-25,53.45000076293945,54.439998626708984,52.54999923706055,52.54999923706055,422665
2025-02-27,51.33000183105469,54.439998626708984,49.95000076293945,53.900001525878906,573031
2025-02-28,49.59000015258789,50.779998779296875,48.25,50.5099983215332,726787
2025-03-03,46.75,50.70000076293945,45.20000076293945,50.0,870884
2025-03-04,48.0099983215332,50.41999816894531,45.599998474121094,46.04999923706055,999376
2025-03-05,49.79999923706055,50.900001525878906,48.5099983215332,49.0,939140
2025-03-06,50.279998779296875,51.70000076293945,50.0099983215332,50.11000061035156,610377
2025-03-07,51.41999816894531,53.31999969482422,50.0,50.29999923706055,732478
2025-03-10,48.72999954223633,52.900001525878906,48.04999923706055,51.0099983215332,569169
2025-03-11,47.61000061035156,49.95000076293945,46.93000030517578,49.95000076293945,772663
2025-03-12,47.400001525878906,48.4900016784668,46.70000076293945,47.900001525878906,1028803
2025-03-13,47.27000045776367,49.77000045776367,47.0,48.0,961065
2025-03-17,46.349998474121094,48.0,45.439998626708984,47.599998474121094,1678632
2025-03-18,46.349998474121094,46.349998474121094,46.349998474121094,46.349998474121094,0
2025-03-19,50.279998779296875,50.5,48.36000061035156,48.369998931884766,712434
2025-03-20,49.790000915527344,52.150001525878906,49.599998474121094,50.63999938964844,1035390
2025-03-21,51.36000061035156,52.290000915527344,49.79999923706055,49.79999923706055,1801128
2025-03-24,51.470001220703125,53.720001220703125,50.70000076293945,51.369998931884766,1225077
2025-03-25,50.40999984741211,52.25,50.0,51.77000045776367,794866
2025-03-26,49.119998931884766,51.79999923706055,48.88999938964844,50.5,1045391
2025-03-27,49.52000045776367,51.20000076293945,48.599998474121094,49.0,1243019
2025-03-28,51.290000915527344,52.599998474121094,49.5099983215332,49.75,944898
2025-04-01,50.4900016784668,51.869998931884766,50.29999923706055,50.88999938964844,382580
2025-04-02,52.349998474121094,52.95000076293945,49.970001220703125,50.970001220703125,336562
2025-04-03,52.869998931884766,53.869998931884766,51.9900016784668,52.5,374611
2025-04-04,51.310001373291016,52.91999816894531,50.869998931884766,52.869998931884766,346424
2025-04-07,49.38999938964844,50.25,45.0,45.0,684120
2025-04-08,50.060001373291016,51.29999923706055,49.2599983215332,51.29999923706055,272550
2025-04-09,50.59000015258789,50.9900016784668,49.060001373291016,50.0,142573
2025-04-11,59.439998626708984,60.70000076293945,51.06999969482422,51.79999923706055,3696763
2025-04-15,60.45000076293945,61.70000076293945,59.619998931884766,60.5,611962
2025-04-16,60.08000183105469,60.540000915527344,58.310001373291016,60.45000076293945,406021
2025-04-17,65.7699966430664,68.19000244140625,59.5,59.9900016784668,2047508
2025-04-21,66.18000030517578,68.38999938964844,65.0199966430664,66.0199966430664,953080
2025-04-22,65.9000015258789,66.9000015258789,65.0,66.4000015258789,246730
2025-04-23,66.5199966430664,67.33000183105469,64.0999984741211,65.9000015258789,505108
2025-04-24,67.29000091552734,68.0,66.48999786376953,66.48999786376953,471321
2025-04-25,66.58000183105469,67.83000183105469,64.47000122070312,67.29000091552734,801167
2025-04-28,65.76000213623047,68.0,65.16000366210938,67.9000015258789,428115
2025-04-29,64.08999633789062,66.58999633789062,63.91999816894531,65.97000122070312,254521
2025-04-30,63.619998931884766,64.80000305175781,62.599998474121094,63.5,321416
2025-05-02,65.0999984741211,67.01000213623047,63.029998779296875,64.0,451234
2025-05-05,66.02999877929688,67.80000305175781,65.5,67.80000305175781,781912
2025-05-06,64.52999877929688,66.77999877929688,63.20000076293945,66.77999877929688,478069
2025-05-07,65.4800033569336,66.0,62.66999816894531,63.0,302126
2025-05-08,64.19999694824219,66.0,63.5,65.0,237793
2025-05-09,63.599998474121094,64.44999694824219,60.099998474121094,61.97999954223633,766971
2025-05-12,65.86000061035156,66.9000015258789,65.33000183105469,65.8499984741211,219371
2025-05-13,65.75,67.30000305175781,65.27999877929688,66.0,315272
2025-05-14,64.66999816894531,67.0,64.22000122070312,66.23999786376953,328591
2025-05-15,67.3499984741211,67.76000213623047,64.79000091552734,64.79000091552734,401134
2025-05-16,72.4000015258789,73.5,68.25,68.69999694824219,1481766
2025-05-19,73.9800033569336,76.63999938964844,72.51000213623047,72.80000305175781,1110880
2025-05-20,72.08000183105469,74.26000213623047,71.5999984741211,73.9800033569336,369942
2025-05-21,72.2300033569336,73.88999938964844,71.5999984741211,72.1500015258789,341890
2025-05-22,70.70999908447266,72.47000122070312,70.33999633789062,71.88999938964844,203376
2025-05-23,73.5999984741211,74.30000305175781,70.19999694824219,71.08999633789062,416238
2025-05-26,73.20999908447266,74.94999694824219,72.29000091552734,73.9800033569336,343655
2025-05-27,72.43000030517578,74.1500015258789,71.72000122070312,74.0,242045
2025-05-28,71.80000305175781,72.68000030517578,71.5999984741211,72.33000183105469,109159
2025-05-29,72.38999938964844,72.66999816894531,71.20999908447266,71.80000305175781,263111
2025-05-30,71.52999877929688,72.18000030517578,70.9000015258789,71.83999633789062,218695
2025-06-02,67.43000030517578,70.98999786376953,67.0,67.0,1065892
2025-06-03,68.68000030517578,70.0999984741211,66.5999984741211,67.0,489463
2025-06-04,67.66999816894531,69.30999755859375,67.0999984741211,68.69999694824219,417303
2025-06-05,67.0999984741211,68.20999908447266,66.86000061035156,67.66999816894531,314551
2025-06-06,69.77999877929688,70.9000015258789,66.73999786376953,67.0999984741211,616940
2025-06-09,67.55000305175781,70.94999694824219,66.27999877929688,70.94999694824219,592057
2025-06-10,67.13999938964844,68.5199966430664,66.83999633789062,68.4000015258789,281994
2025-06-11,71.30999755859375,72.80000305175781,67.20999908447266,67.48999786376953,1664668
2025-06-12,70.08999633789062,72.5,69.80000305175781,71.73999786376953,746766
2025-06-13,68.9000015258789,71.19999694824219,68.30000305175781,69.69999694824219,298363
2025-06-16,69.36000061035156,69.7699966430664,67.70999908447266,68.5,193406
2025-06-17,67.19999694824219,69.83999633789062,66.86000061035156,69.16000366210938,254721
2025-06-18,66.80000305175781,68.58999633789062,65.69999694824219,67.5,401903
2025-06-19,64.58000183105469,67.51000213623047,63.2599983215332,66.9000015258789,317404
2025-06-20,64.81999969482422,66.54000091552734,64.01000213623047,64.79000091552734,308550
2025-06-23,64.2699966430664,65.88999938964844,64.0,64.69999694824219,213522
2025-06-24,65.27999877929688,66.8499984741211,64.11000061035156,65.94999694824219,440946
2025-06-25,65.72000122070312,67.38999938964844,65.01000213623047,65.4000015258789,289611
2025-06-26,66.1500015258789,68.0999984741211,65.7300033569336,65.98999786376953,359481
2025-06-27,66.41000366210938,67.48999786376953,66.05999755859375,66.9000015258789,273512
2025-06-30,66.27999877929688,67.30000305175781,66.06999969482422,66.79000091552734,155756
2025-07-01,65.37000274658203,66.98999786376953,65.0999984741211,66.9000015258789,309870
2025-07-02,66.0999984741211,66.26000213623047,65.01000213623047,65.5999984741211,245731
2025-07-03,70.6500015258789,73.44999694824219,65.87999725341797,66.0999984741211,2285255
2025-07-04,69.81999969482422,72.4000015258789,69.5,70.0999984741211,770334
2025-07-07,68.08999633789062,71.02999877929688,67.55000305175781,69.81999969482422,297261
2025-07-08,68.36000061035156,68.7300033569336,67.61000061035156,68.33999633789062,201816
2025-07-09,67.73999786376953,68.80000305175781,67.37999725341797,68.36000061035156,204693
2025-07-10,67.2300033569336,69.69999694824219,66.55999755859375,68.04000091552734,440477
2025-07-11,67.54000091552734,69.05000305175781,67.2300033569336,67.30000305175781,373886
2025-07-14,68.16999816894531,69.5999984741211,67.55000305175781,67.55000305175781,262845
2025-07-15,68.8499984741211,69.58000183105469,68.20999908447266,68.4000015258789,329181
2025-07-16,69.69000244140625,70.58999633789062,68.5,68.5,254105
2025-07-17,68.94000244140625,70.94999694824219,68.0999984741211,70.0,382335
2025-07-18,68.27999877929688,69.5,67.19999694824219,69.33000183105469,142348
2025-07-21,72.2300033569336,72.75,69.05000305175781,70.0,1509101
2025-07-22,72.04000091552734,75.0,71.55000305175781,75.0,2748311
2025-07-23,70.30999755859375,71.88999938964844,69.5,71.88999938964844,325960
2025-07-24,70.58999633789062,72.4000015258789,69.5,70.55000305175781,1116445
2025-07-25,71.43000030517578,73.6500015258789,69.80999755859375,70.80000305175781,911851
2025-07-28,71.97000122070312,72.9000015258789,70.2300033569336,71.43000030517578,424051
2025-07-29,72.23999786376953,73.4000015258789,70.36000061035156,71.97000122070312,707624
2025-07-30,75.54000091552734,76.68000030517578,71.51000213623047,72.5,2106776
2025-07-31,79.01000213623047,80.01000213623047,73.36000061035156,76.44999694824219,2860345
2025-08-01,75.08999633789062,79.98999786376953,74.1500015258789,79.9000015258789,1053955
2025-08-04,75.87999725341797,78.80000305175781,75.30000305175781,75.30000305175781,799015
