Date,Close,High,Low,Open,Volume
2024-07-15,611.5499877929688,656.25,610.0,648.0,3826
2024-07-16,621.5,632.0,612.0,615.0,2028
2024-07-18,629.9000244140625,649.0,598.0,633.9500122070312,6415
2024-07-19,636.2999877929688,656.0,601.0,620.0,7247
2024-07-22,622.0,654.75,615.75,654.75,1955
2024-07-23,605.0,643.0,596.0,643.0,2260
2024-07-24,598.0499877929688,620.4000244140625,590.0,602.0499877929688,2034
2024-07-25,598.6500244140625,610.2000122070312,591.0,610.2000122070312,1480
2024-07-26,625.2000122070312,628.5499877929688,593.0499877929688,610.6500244140625,3774
2024-07-29,656.4500122070312,656.4500122070312,622.0,649.9500122070312,4315
2024-07-30,689.25,689.25,669.5999755859375,689.25,4785
2024-07-31,719.0,723.7000122070312,703.5,720.25,9923
2024-08-01,693.2000122070312,729.9500122070312,683.0499877929688,729.9500122070312,11545
2024-08-02,696.2999877929688,725.8499755859375,658.5499877929688,684.0,5297
2024-08-05,670.0499877929688,699.7999877929688,666.0499877929688,699.7999877929688,5066
2024-08-06,665.2999877929688,692.25,660.25,670.0499877929688,1781
2024-08-07,682.0499877929688,698.5,635.5,665.2999877929688,3053
2024-08-08,690.5,715.0,669.2000122070312,680.0,3917
2024-08-09,714.8499755859375,725.0,666.1500244140625,725.0,7986
2024-08-12,734.75,750.5499877929688,714.8499755859375,746.75,8540
2024-08-13,726.2999877929688,766.0,710.0,766.0,3372
2024-08-14,690.0,745.0,690.0,730.0,4733
2024-08-16,666.6500244140625,688.0,655.5,665.0,3874
2024-08-19,660.7000122070312,674.9500122070312,655.0,655.0,2453
2024-08-20,660.1500244140625,674.0,640.0,656.0999755859375,4834
2024-08-21,672.0,693.0,645.0,668.0,3710
2024-08-22,694.3499755859375,705.5999755859375,676.0,684.9500122070312,4345
2024-08-23,696.7999877929688,709.9000244140625,682.6500244140625,709.9000244140625,2096
2024-08-26,682.8499755859375,709.8499755859375,680.0,709.8499755859375,2777
2024-08-27,684.0499877929688,698.0,677.0999755859375,698.0,1772
2024-08-28,681.2999877929688,697.0,665.0,697.0,1842
2024-08-29,662.9500122070312,687.7999877929688,660.0,687.7999877929688,2777
2024-08-30,672.4000244140625,688.0,660.0499877929688,663.5,2764
2024-09-02,665.8499755859375,679.9000244140625,655.0,672.4500122070312,1632
2024-09-03,657.8499755859375,677.7999877929688,645.0,677.7999877929688,2025
2024-09-04,659.5999755859375,666.75,644.0,655.0,1860
2024-09-05,650.25,659.0,642.0999755859375,651.0499877929688,1420
2024-09-06,629.5499877929688,645.0999755859375,622.1500244140625,645.0999755859375,2496
2024-09-09,635.9000244140625,659.0,630.0,630.0,3021
2024-09-10,638.9000244140625,657.9500122070312,631.0999755859375,645.0,1283
2024-09-11,627.3499755859375,638.25,622.0,622.0,1778
2024-09-12,631.5999755859375,647.9500122070312,605.5999755859375,635.8499755859375,1956
2024-09-13,632.0499877929688,643.9000244140625,627.0,643.9000244140625,1441
2024-09-16,628.7999877929688,648.0,621.5,641.8499755859375,2489
2024-09-17,615.8499755859375,648.8499755859375,610.0,640.0,3724
2024-09-18,618.5499877929688,624.9500122070312,612.0,620.0,1042
2024-09-19,597.8499755859375,624.9000244140625,595.5499877929688,624.9000244140625,2688
2024-09-20,592.4000244140625,609.8499755859375,586.0499877929688,600.0,2395
2024-09-23,587.5999755859375,608.4000244140625,576.0,592.4000244140625,1485
2024-09-24,558.8499755859375,596.9500122070312,558.25,587.5999755859375,9039
2024-09-25,539.6500244140625,559.0,532.0,559.0,5779
