Date,Close,High,Low,Open,Volume
2024-07-15,130864.9375,133943.75586107824,129826.24405083446,129826.24405083446,16952
2024-07-16,132778.890625,133076.39457967517,131002.68390597332,131451.32323441844,8534
2024-07-18,131900.78125,132772.1383747538,130390.51821287043,132299.8209401404,5679
2024-07-19,127736.1328125,131850.10855915805,127114.47138973649,131850.10855915805,18338
2024-07-22,130578.46875,131162.1983573138,126217.34403636932,127736.13613150916,19170
2024-07-23,131605.5625,133331.67121208008,125843.93511951767,130106.40609940389,18946
2024-07-24,136857.5625,137459.08182096534,130559.55520032412,131072.6084669112,22893
2024-07-25,137368.171875,139769.19920254525,134283.21819836216,134283.21819836216,17629
2024-07-26,138646.375,139098.25441096866,135986.37507728374,137667.61233893756,13182
2024-07-29,139029.984375,140251.71373966156,138276.60773982547,138656.49401596267,12647
2024-07-30,139712.8125,140273.4069341175,139030.0092280353,139035.40675904058,7514
2024-07-31,142019.640625,142268.03626315968,139724.3014424855,139724.3014424855,11737
2024-08-01,140039.9375,143617.90769204783,139374.85561489462,142231.7406388346,8618
2024-08-02,138137.203125,140423.16673220356,137778.43890658248,140038.78764089962,6267
2024-08-05,136248.5,137677.59770734797,135056.8312535279,136579.37176479478,9577
2024-08-06,135454.484375,138775.8222273612,135081.7895493667,135805.62027681156,7917
2024-08-07,134388.40625,138449.6425217718,133989.597368934,137278.23795740143,6772
2024-08-08,140165.140625,142270.19349566873,131787.1266065142,134283.09491345577,39876
2024-08-09,136690.875,141022.01853535508,135181.61013673389,140165.10602769017,17910
2024-08-12,137064.078125,138276.61931021485,134283.07073807868,136878.87730996718,15138
2024-08-13,137266.21875,138276.6334414072,136799.02031871202,138076.90919299223,4734
2024-08-14,135751.171875,137927.1569680964,135304.2843652362,136883.88905206774,6578
2024-08-16,135867.703125,137456.23054201566,134404.91007880968,137028.62448262435,9943
2024-08-19,134706.140625,136778.2931916696,134283.5732562489,136060.20322126386,9128
2024-08-20,135653.921875,135999.0206787108,134833.2007303463,135381.3153477942,4051
2024-08-21,137609.046875,137777.4311131607,135081.78572181627,135081.78572181627,6885
2024-08-22,139389.375,139672.370968686,137216.1356863137,137216.1356863137,5436
2024-08-23,138296.1875,140273.3997243621,138008.40239344805,139275.01253771182,5657
2024-08-26,139099.734375,140273.38519070536,138137.99121770548,139773.73925495436,9279
2024-08-27,138583.71875,139624.39696189665,138225.60975699587,139135.23405487317,4576
2024-08-28,136635.5625,139275.00161837184,136266.2060692968,139275.00161837184,6441
2024-08-29,134204.3125,137091.3989672002,133174.8815975915,136779.0597411353,10344
2024-08-30,134615.984375,135271.47232563878,134183.2303532796,135181.61748388433,10322
2024-09-02,133978.8125,135859.22788792851,133783.87740996794,135231.53877000118,6841
2024-09-03,134202.21875,134580.60752618677,133823.82997381323,134532.68493711826,4691
2024-09-04,135108.640625,135241.31691379647,133839.23819722404,134181.2325863228,4118
2024-09-05,135797.71875,136445.57841236406,135281.4589940097,136030.2493574452,3971
2024-09-06,134044.21875,136479.53480913074,133826.27393690354,136130.09927743216,3820
2024-09-09,133763.21875,134782.27571307367,132386.14636706348,134782.27571307367,6107
2024-09-10,135540.46875,136140.00033114504,134039.14382885618,134632.52908810877,5084
2024-09-11,135127.65625,136429.59985296938,134923.82927967448,136000.2933916684,5167
2024-09-12,135742.984375,136255.99945181317,135281.47984321017,135578.9992601347,3413
2024-09-13,137132.421875,137378.02511403128,135581.02184186608,136180.00733278858,4948
2024-09-16,136206.96875,138285.61087316842,135880.496139877,137577.7543576418,5576
2024-09-17,135001.140625,137042.98313503384,134835.1587296019,136828.985048467,2915
2024-09-18,134026.1875,135471.1500776404,133085.00482975505,135471.1500776404,4978
2024-09-19,136127.6875,136629.28345132605,133906.6348545454,134482.75104781598,7839
2024-09-20,135715.1875,136597.65269193053,134882.1736799944,136279.86912805602,13578
2024-09-23,137013.46875,137278.2441634302,135830.58267952496,135830.58267952496,5664
2024-09-24,137590.734375,137777.38598088952,136529.44878771415,136988.70689698178,5250
2024-09-25,138931.75,139630.1219710568,137078.74302604515,137126.50962217132,8665
2024-09-26,138628.21875,139275.017672799,137474.97230830006,139025.42086693377,8335
2024-09-27,140746.546875,142154.27286041618,138153.82885385482,138476.30792710974,12240
2024-09-30,138290.25,141656.00017073003,137977.14644006785,140772.5835697157,6269
2024-10-01,140036.6875,140220.57793880877,138726.10152819465,139374.85039812513,3931
2024-10-03,135884.8125,139668.85536877843,135705.16523250256,137777.41112689508,7483
2024-10-04,133193.59375,136562.1990983164,132785.50296551012,136379.69703074198,10223
2024-10-07,131026.1796875,135281.46181277267,130344.4372469855,135158.6601906105,7958
2024-10-08,131927.078125,132370.00321524247,130639.05732890572,131387.74627753926,5944
2024-10-09,132369.46875,133773.90316771378,132237.22924318598,133584.20959653784,4681
2024-10-10,132001.21875,133474.38587522047,131787.1114932239,133384.5310264751,3208
2024-10-11,131984.375,132204.33216255,130939.67207668009,132186.4547931683,3353
2024-10-14,131700.546875,132685.65864344372,131039.52095097849,131984.38523549397,5429
2024-10-15,130815.9375,132286.2655421138,130638.97335764125,131701.25740542522,6023
2024-10-16,130283.3359375,131066.36789524306,129321.14027750216,130788.97225279686,5437
2024-10-17,129602.390625,130738.70346560271,129191.30469217926,130210.65803136562,3163
2024-10-18,129235.8828125,129740.4193545564,128410.56757633195,129590.66127142303,3964
2024-10-21,128036.1328125,131787.1206129869,127844.536054052,129890.18478598178,9788
2024-10-22,126203.3671875,128781.95145860405,125896.61275238368,128781.95145860405,5713
2024-10-23,125291.5546875,126550.56772811389,124786.81536581065,125896.62412145604,6712
2024-10-24,123931.0,125796.63461625847,123750.08912570708,125397.42794827599,5151
2024-10-25,122553.8203125,124660.91645572729,121678.4843525026,123931.00182840553,6300
